Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
6f971f99-f56f-233c-06c5-7cff1c1d0225,2016-10-27,,999-12-3237,,,,Harry448,Luciano237,Ratke343,,,,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,852 Shanahan Union Apt 97,Medfield,Massachusetts,Norfolk County,25021,02052,42.13719573846165,-71.33259415139392,9771.28,6436.31,975748
1598e485-f50d-ad05-086e-acdd7b897628,2016-09-03,,999-17-3111,,,,Tasia358,Mafalda94,Ledner144,,,,white,hispanic,F,Winchendon  Massachusetts  US,487 Gorczany Estate,Haverhill,Massachusetts,Essex County,25009,01830,42.74528311104524,-71.10479553150813,19127.77,8556.03,985308
04bf2325-37b7-d5c9-ae57-e9798e45f5e2,1996-08-19,,999-46-4568,S99934773,X32481266X,Ms.,Royce974,,Simonis280,,,S,white,nonhispanic,F,Boston  Massachusetts  US,827 Baumbach Camp,Fairhaven,Massachusetts,Bristol County,,00000,41.67452914723951,-70.85210582564689,69450.55,81379.39,145771
9bdc9831-6723-44dd-5e29-f3f7f6494f70,2001-12-25,,999-75-5853,S99993381,X6826934X,Ms.,Esperanza675,Lucia634,Muñiz642,,,,white,hispanic,F,Puebla  Puebla  MX,953 Purdy Lock Apt 12,Medford,Massachusetts,Middlesex County,25017,02155,42.458645349035436,-71.1504535832579,5805.52,497471.14,4356
f3d34535-1d37-9e82-adbc-62ab1d0855c5,2013-07-23,,999-27-1061,,,,Halley419,Danita413,Sawayn19,,,,white,hispanic,F,Beverly  Massachusetts  US,646 Larkin Fort,Milford,Massachusetts,Worcester County,25027,01757,42.192270148134796,-71.50033523466621,1900.00,26679.64,12683
078f3bb7-77fd-3f1f-db11-45bc43b1105c,1964-07-02,,999-12-6328,S99920434,X42055104X,Ms.,Reginia455,Tanja584,Prosacco716,,,S,white,nonhispanic,F,Peabody  Massachusetts  US,656 Brekke Rue,Everett,Massachusetts,Middlesex County,25017,02148,42.47737631750179,-71.03510345084256,392580.43,797310.75,73142
5cb361ab-88fc-325b-6e06-90b6a4e2126c,1997-03-25,,999-48-5026,S99957507,X47659426X,Ms.,Torie475,Synthia172,Schiller186,,,,other,nonhispanic,F,Peabody  Massachusetts  US,353 Hodkiewicz Branch,Everett,Massachusetts,Middlesex County,25017,02149,42.437831598651556,-71.09203876786076,8070.91,481475.43,14436
56883a24-cfc5-cf6a-d096-ab653db000db,1996-08-23,,999-24-6612,S99975148,X77941019X,Mr.,Royal919,,Cummerata161,,,M,white,nonhispanic,M,East Bridgewater  Massachusetts  US,496 Anderson Byway,Medford,Massachusetts,Middlesex County,25017,02145,42.45207129025569,-71.08923411205807,45437.70,73221.20,47344
c158e029-dafd-2ecd-0bd5-91947a306e72,1971-08-15,,999-88-1946,S99993182,X54296270X,Mrs.,Clarine378,Maddie576,O'Conner199,,Kunze215,M,white,nonhispanic,F,Lowell  Massachusetts  US,306 Hermiston Ferry,Worcester,Massachusetts,Worcester County,25027,01605,42.2687119567677,-71.8108931512474,27038.77,1041546.40,6598
79c6079a-fd3b-6b18-6fb3-74dbfdad4d1d,1979-04-15,,999-43-4767,S99956979,X61628753X,Mr.,Carter549,Javier97,Homenick806,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,260 Friesen Junction,Natick,Massachusetts,Middlesex County,,00000,42.316493380263424,-71.33526896384286,146476.44,88352.18,65372
1db976ed-12be-c7cd-7b51-466774a2ca90,1973-10-13,,999-17-3416,S99975449,X52420102X,Mrs.,Delpha270,,Rohan584,,Mills423,M,white,nonhispanic,F,Worcester  Massachusetts  US,393 Hagenes Well Apt 18,Greenfield,Massachusetts,Franklin County,25011,01301,42.62910566651406,-72.63761497079244,445018.31,585184.39,60295
e3641c16-79fb-5f2b-424f-46c3bb26b6b8,1976-08-07,,999-69-4006,S99999328,X34821268X,Ms.,María Cristina383,,Sauceda634,,,S,black,hispanic,F,Salisbury  Saint Joseph Parish  DM,628 Little Dam Apt 29,Holyoke,Massachusetts,Hampden County,25013,01040,42.185771934441284,-72.67761414162446,893429.49,798683.93,47600
